pfile,runs,n_lm,time
1,1,13,0.015217
1,2,13,0.015309
2,1,17,0.030798
2,2,17,0.030465
3,1,26,0.05742
3,2,26,0.056403
4,1,19,0.053915
4,2,19,0.054438
5,1,47,0.14237
5,2,47,0.137806
