problem,compiled,extract_type,time,problem_size,n_landmarks
1,False,backward,1.1457397046666666,38.0,73.0
1,False,forward,1.7738379809999998,38.0,16.0
1,False,noncausal,0.49580065766666664,38.0,16.0
1,True,backward,0.44607654225,38.0,74.0
1,True,forward,0.77923632075,38.0,16.0
1,True,noncausal,0.46156142825,38.0,16.0
2,False,backward,1.0193416576666667,50.0,67.0
2,False,forward,0.936521995,50.0,19.0
2,False,noncausal,1.107858445,50.0,19.0
2,True,backward,1.16552783625,50.0,68.0
2,True,forward,1.47580201625,50.0,19.0
2,True,noncausal,1.190620925,50.0,19.0
3,False,backward,2.4910841633333334,64.0,98.0
3,False,forward,2.2036339,64.0,32.0
3,False,noncausal,2.7523138963333333,64.0,32.0
3,True,backward,2.6505128625,64.0,99.0
3,True,forward,2.7859044715,64.0,32.0
3,True,noncausal,2.89584609275,64.0,32.0
4,False,backward,6.104958022666666,80.0,103.0
4,False,forward,5.761107945666666,80.0,24.0
4,False,noncausal,6.401615438666667,80.0,24.0
4,True,backward,6.77830345075,80.0,104.0
4,True,forward,6.5804183355,80.0,24.0
4,True,noncausal,6.83347323825,80.0,24.0
5,False,backward,18.392693969,98.0,176.0
5,False,forward,17.246362001666665,98.0,57.0
5,False,noncausal,19.509934704,98.0,57.0
5,True,backward,19.8084760895,98.0,177.0
5,True,forward,18.706351929,98.0,57.0
5,True,noncausal,20.86082158275,98.0,57.0
